what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1650888045903
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1650888045919
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1650888045919
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1650888045919
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1650888045919
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1650888045919
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1650888045919
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1650888045919
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1650888045919
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1650888045919
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1650888045919
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1650888045919
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1650888045919
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1650888045919
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1650888045919
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1650888045934
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1650888045934
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1650888045934
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1650888045934
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1650888045934
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1650888045934
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1650888045934
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1650888045934
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1650888045934
os,sysinfo,,,"win32",1650888045934
arch,sysinfo,,,"x86_64",1650888045934
ws,sysinfo,,,"win32",1650888045934
locale,sysinfo,,,"en_IN",1650888045934
processors,sysinfo,,,"4",1650888045934
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1650888045934
java.runtime.version,sysinfo,,,"1.8.0_321-b07",1650888045934
java.specification.name,sysinfo,,,"Java Platform API Specification",1650888045934
java.specification.vendor,sysinfo,,,"Oracle Corporation",1650888045934
java.specification.version,sysinfo,,,"1.8",1650888045934
java.vendor,sysinfo,,,"Oracle Corporation",1650888045934
java.version,sysinfo,,,"1.8.0_321",1650888045934
java.vm.info,sysinfo,,,"mixed mode",1650888045934
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1650888045934
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1650888045934
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1650888045934
java.vm.specification.version,sysinfo,,,"1.8",1650888045934
java.vm.vendor,sysinfo,,,"Oracle Corporation",1650888045934
java.vm.version,sysinfo,,,"25.321-b07",1650888045934
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1650888046421
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1650888046484
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1650888046499
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1650888046530
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1650888046702
